Name,Config,Architecture,Batch Size,Epochs,FLOPs,Parameters,Training Resources,Top 1 Accuracy,pseudo heatmap
slowonly_r50_8xb16-u48-240e_ntu60-xsub-keypoint,configs/skeleton/posec3d/slowonly_r50_8xb16-u48-240e_ntu60-xsub-keypoint.py,SlowOnly-R50,16,240,20.6G,2.0M,8 GPUs,93.6,keypoint
slowonly_r50_8xb16-u48-240e_ntu60-xsub-limb,configs/skeleton/posec3d/slowonly_r50_8xb16-u48-240e_ntu60-xsub-limb.py,SlowOnly-R50,16,240,20.6G,2.0M,8 GPUs,93.5,limb
stgcnpp_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcnpp/stgcnpp_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN++,16,80,1.95G,1.39M,8 GPUs,92.3,
stgcn_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcn/stgcn_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN,16,80,3.8G,3.1M,8 GPUs,91.69,
2s-agcn_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/2s-agcn/2s-agcn_8xb16-bone-u100-80e_ntu60-xsub-keypoint-2d.py,AGCN,16,80,4.4G,3.5M,8 GPUs,91.59,
stgcnpp_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcnpp/stgcnpp_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN++,16,80,1.95G,1.39M,8 GPUs,89.29,
stgcn_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcn/stgcn_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN,16,80,3.8G,3.1M,8 GPUs,88.95,
2s-agcn_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/2s-agcn/2s-agcn_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d.py,AGCN,16,80,4.4G,3.5M,8 GPUs,88.82,
stgcnpp_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcnpp/stgcnpp_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN++,16,80,1.95G,1.39M,8 GPUs,88.76,
2s-agcn_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/2s-agcn/2s-agcn_8xb16-joint-u100-80e_ntu60-xsub-keypoint-2d.py,AGCN,16,80,4.4G,3.5M,8 GPUs,88.6,
2s-agcn_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/2s-agcn/2s-agcn_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d.py,AGCN,16,80,4.4G,3.5M,8 GPUs,88.02,
stgcn_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcn/stgcn_8xb16-bone-motion-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN,16,80,3.8G,3.1M,8 GPUs,87.86,
stgcnpp_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcnpp/stgcnpp_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN++,16,80,1.95G,1.39M,8 GPUs,87.3,
stgcn_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d,configs/skeleton/stgcn/stgcn_8xb16-joint-motion-u100-80e_ntu60-xsub-keypoint-2d.py,STGCN,16,80,3.8G,3.1M,8 GPUs,86.9,
